location account number,(owners) business name,doing business as :,Business Address,City,Phone #,Address + Phone,Mailing Address,City (mailing),phone #,NAICS #,Industry Tag,Council Tag,Business Start,Business End,Longitute,Latitude
0002996354-0001-9,INDOCTRINATION LLC,JUDITH FARBER LANDSCAPE DESIGN,5950   CANOGA AVENUE   SUITE #510,WOODLAND HILLS,91367-5011,5950 CANOGA 91367-5011,5858   WILSHIRE BLVD   #205,LOS ANGELES,90036-4521,523900,Other financial investment activities (including investment advice),3,7/1/2017,,"(34.1782, -118.5965)",
0002591290-0001-9,CHRISTOPHER COLIN DICKSON,BULLDOG STUDIO RENTALS,22909 BURTON STREET,WEST HILLS,91304-3609,22909 BURTON 91304-3609,6090   MESCALLERO PLACE,SIMI VALLEY,93063-5702,512100,Motion picture & video industries (except video rental),12,1/1/2011,,"(34.2184, -118.6264)",
0002776383-0001-1,"PRIVATE MONEY LENDERS, INC",ELEGANT INSURANCE SOLUTIONS,17715 CHATSWORTH STREET UNIT #101,GRANADA HILLS,91344-5621,17715 CHATSWORTH 91344-5621,17715 CHATSWORTH STREET UNIT #101,GRANADA HILLS,91344-5621,522300,Activities related to credit intermediation (including loan brokers),12,9/25/2014,,"(34.2649, -118.5201)",
0002927733-0001-2,ADRIAN CARRERA,BIG STAR TIRE SERVICE,120 N ROSE AVENUE,COMPTON,90221-2617,120 ROSE 90221-2617,5711 S FIGUEROA STREET,LOS ANGELES,90037-4039,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),0,8/16/2016,,"(33.897, -118.2188)",
0002966994-0001-3,A & S CUT OFF CENTER,BEVERLY ORIENTAL MEDICAL CENTER,12990   BRANFORD STREET   #J,ARLETA,91331-4338,12990 BRANFORD 91331-4338,8641 WILSHIRE BLVD #312,BEVERLY HILLS,90211-2921,423800,"Machinery, equipment, & supplies",6,4/20/2016,,"(34.2386, -118.4144)",
0002074833-0001-1,"TOUCH OF LIFE PHYSICAL THERAPY, INC.",PSI,7301   MEDICAL CENTER DRIVE   SUITE #104,WEST HILLS,91307-1939,7301 MEDICAL CENTER 91307-1939,12306 7TH HELENA DRIVE,LOS ANGELES,90049-3932,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",12,10/17/2005,,"(34.2027, -118.6302)",
0000949368-0002-0,CARLOS E VELEZ,NEO,1441   HUNTINGTON DRIVE   UNIT #161,SOUTH PASADENA,91030-4512,1441 HUNTINGTON 91030-4512,1441 HUNTINGTON DRIVE SUITE #161,SOUTH PASADENA,91030-4512,541600,"Management, scientific, & technical consulting services",0,1/1/2005,,"(34.104, -118.151)",
0002532628-0002-0,AYKANUSH TAKVORYAN,ROYAL DESIGN,901 E CEDAR AVENUE,BURBANK,91501-1527,901 CEDAR 91501-1527,19049 VANOWEN STREET,RESEDA,91335-5115,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",0,10/31/2016,,"(34.185, -118.2944)",
0002495540-0001-9,"OCEAN TERMINAL SERVICES, INC",LEMPA ROOFING,2500   VIA CABRILLO MARINA     SUITE #300,SAN PEDRO,90731-7224,2500 VIA CABRILLO MARINA 90731-7224,5086 AVENIDA HACIENDA,TARZANA,91356-4223,812990,All other personal services,15,1/1/2009,,"(33.7205, -118.2829)",
0000889671-0001-8,MEISEL TRUST FUND,MACLIN DIVISION,149 S BARRINGTON AVENUE   #802,LOS ANGELES,90049-3310,149 BARRINGTON 90049-3310,149 S BARRINGTON AVENUE   #802,LOS ANGELES,90049-3310,531100,Lessors of real estate (including mini warehouses & self-storage units),11,1/1/1970,,"(34.0642, -118.4691)",
0000481654-0001-4,SSLC-ROYAL SEPULVEDA LLC,ROGELIO'S BARBER SHOP,6920 SEPULVEDA BLVD,VAN NUYS,91405-3516,6920 SEPULVEDA 91405-3516,9100   WILSHIRE BLVD   SUITE #250W,BEVERLY HILLS,90212-3425,531100,Lessors of real estate (including mini warehouses & self-storage units),6,1/1/2003,,"(34.1961, -118.4661)",
0002501594-0001-4,LAS MARGARITAS LP,LUCY RAYNER,2917 E 1ST STREET   SUITE #101,LOS ANGELES,90033-3667,2917 1ST 90033-3667,1455 RESPONSE ROAD SUITE #140,SACRAMENTO,95815-5264,531100,Lessors of real estate (including mini warehouses & self-storage units),14,1/3/2008,,"(34.041, -118.2029)",
0002952155-0001-2,BRAYAN GUSTAVO ROSALES LOPEZ,THE LAY OF THE LAND,3368  1/2   DIVISION STREET,LOS ANGELES,90065-2749,3368 DIVISION 90065-2749,1340 E 6TH STREET,LOS ANGELES,90021-1236,812990,All other personal services,1,12/30/2016,,"(34.1047, -118.2286)",
0002911054-0001-7,"CAMIL GROUP, INC.",ALIN MEADE LANDSCAPE,865   COMSTOCK AVENUE   APARTMENT #5B,LOS ANGELES,90024-2580,865 COMSTOCK 90024,865   COMSTOCK AVENUE   APARTMENT #5B,LOS ANGELES,90024-2580,448120,Women's clothing stores,5,5/4/2016,,"(34.0684, -118.4264)",
0002976136-0001-1,ENZO RICCIARDI,D MALIBU CONSTRUCTION,1126   WILCOX PLACE   APARTMENT #5,LOS ANGELES,90038-1471,1126 WILCOX 90038-1471,POST OFFICE BOX #6893,BURBANK,91510-6893,541990,"All other professional, scientific, & technical services",13,12/19/2015,,"(34.0916, -118.3313)",
0002950809-0001-5,CONNOR CLAYTON,TAHNTAWAN THAI KITCHEN,10741   CAMARILLO STREET   #102,NORTH HOLLYWOOD,91602-1478,10741 CAMARILLO 91602-1478,519 WASHINGTON BLVD,MARINA DEL REY,90292-5420,512100,Motion picture & video industries (except video rental),2,1/1/2015,,"(34.158, -118.3651)",
0002925650-0001-3,ELITE PROVIDER URGENT CARE NETWORK,ETV GLOBAL,201 S ALVARADO STREET   SUITE #100,LOS ANGELES,90057-2320,201 ALVARADO 90057-2320,724 S MARIPOSA AVENUE   APARTMENT #407,LOS ANGELES,90005-2027,621510,Medical & diagnostic laboratories,13,9/2/2016,,"(34.0643, -118.2722)",
0002985212-0001-3,LISETTE ARVIZU,J C FINE FURNITURE,8415   TYRONE AVENUE,PANORAMA CITY,91402-3716,8415 TYRONE 91402-3716,POST OFFICE BOX #811454,LOS ANGELES,90081-0008,812112,Beauty salons,6,4/10/2017,,"(34.2238, -118.4445)",
0002983307-0001-6,"THAN LUU M.D., INC",K JEWELRY & WATCHES,709 N HILL STREET   UNIT #18,LOS ANGELES,90012-2352,709 HILL 90012-2352,4370   TROOST AVENUE   #105,STUDIO CITY,91604-2765,621400,Outpatient  care centers,1,4/25/2017,,"(34.0612, -118.2411)",
0003004389-0001-6,MOGA LARCHMONT LLC,SITA'S ABOUNDING CREATIONS,443 N LARCHMONT BLVD,LOS ANGELES,90004-3073,443 LARCHMONT 90004-3073,2245   HILL DRIVE,LOS ANGELES,90041-1130,532290,Other consumer goods rental,4,11/1/2015,,"(34.0788, -118.324)",
0002914966-0001-5,SUPERIOR FINANCE SOLUTIONS LLC,SUPERIOR FINANCE SOLUTIONS,6303   OWENSMOUTH AVENUE   FLOOR #10,WOODLAND HILLS,91367-2262,6303 OWENSMOUTH 91367-2262,POST OFFICE BOX #356,WOODLAND HILLS,91365-0356,523900,Other financial investment activities (including investment advice),3,4/13/2016,,"(34.185, -118.6016)",
0002882432-0001-0,PAULA SORTO,GREDING PRECISION STRIPING,3314 W 71ST STREET,LOS ANGELES,90043-4740,3314 71ST 90043-4740,1744 S VERMONT AVENUE,LOS ANGELES,90006-4524,812990,All other personal services,8,10/1/2015,,"(33.9754, -118.33)",
0002996936-0001-0,BEAUTIRAMA HAIR STUDIO LLC,BHS LUXURY HAIR,8021 S VERMONT AVENUE,LOS ANGELES,90044-3543,8021 VERMONT 90044,8021 S VERMONT AVENUE   #3,LOS ANGELES,90044-3543,446120,"Cosmetics, beauty supplies, & perfume stores",8,8/1/2017,,"(33.9666, -118.2921)",
0000738157-0001-2,SHIN MRI LLC,DENTAL ARTS DENTISTRY,266 S HARVARD BLVD #220,LOS ANGELES,90004-4372,266 HARVARD 90004-4372,5430 W 118TH PLACE,INGLEWOOD,90304-1034,531100,Lessors of real estate (including mini warehouses & self-storage units),10,12/28/2002,,"(34.0697, -118.3041)",
0002966325-0001-3,LEONCIO ROJAS,DABNEY'S PHARMACY,1158   CORNWELL STREET,LOS ANGELES,90033-1415,1158 CORNWELL 90033-1415,1158   CORNWELL STREET,LOS ANGELES,90033-1415,722300,Special food services (including food service contractors & caterers),14,1/2/2016,,"(34.0569, -118.2038)",
0002999335-0001-8,BEN AXELRAD,BEN AXELRAD PILOT WRITING CLASS & SERVICES,243 S AVENUE 50     APARTMENT #308,LOS ANGELES,90042-4477,243 AVENUE 50 90042,243 S AVENUE 50     APARTMENT #308,LOS ANGELES,90042-4477,611000,"Educational services (including schools, colleges, & universities)",1,7/10/2017,,"(34.1029, -118.1992)",
0000956307-0001-0,R R DONNELLEY & SONS CO /C,LSC COMMUNICATIONS,19681 PACIFIC GATEWAY DRIVE,TORRANCE,90502-1116,19681 PACIFIC GATEWAY 90502-1116,300 LANG BLVD,GRAND ISLAND,14072-3122,323100,Printing & related support activities,15,10/1/1971,,"(33.8523, -118.2952)",
0002554671-0001-5,GREG CARTER,SOFINA AIR SYSTEMS,13734 VENTURA BLVD,SHERMAN OAKS,91423-3024,13734 VENTURA 91423-3024,POST OFFICE BOX #5591,SHERMAN OAKS,91413-5591,812111,Barber shops,4,4/12/2011,,"(34.1482, -118.4322)",
0002955984-0001-6,GEORGINA GUTIERREZ,GLOBAL ATTORNEY SERVICES,224 S COMMONWEALTH AVENUE   #9,LOS ANGELES,90004-6156,224 COMMONWEALTH 90004-6156,9555 MAIE AVENUE,LOS ANGELES,90002-2350,812990,All other personal services,13,1/1/2015,,"(34.0696, -118.2853)",
0002427485-0001-8,MYRNA FRANCILEDO BATOON,THE FINEST MODEL TALENT,5112   LAUREL CANYON BLVD   UNIT #210,VALLEY VILLAGE,91607-3160,5112 LAUREL CANYON 91607-3160,324 S BEVERLY DRIVE #115,BEVERLY HILLS,90212-4801,811120,"Automotive body, paint, interior, & glass repair",2,5/23/2017,,"(34.1634, -118.3961)",
0002983484-0001-0,DONOVAN LEE MLCOCH,DONOVAN MLCOCH,12811   CASWELL AVENUE   APARTMENT #9,LOS ANGELES,90066-4148,12811 CASWELL 90066-4148,106 1/2 JUDGE JOHN AISO STREET,LOS ANGELES,90012-3805,541920,Photographic services,11,2/10/2016,,"(33.9977, -118.4389)",
0002935699-0001-5,ANNALISA SAYLOR,SUBLIMITY,2451   PURDUE AVENUE   #6,LOS ANGELES,90064-5122,2451 PURDUE 90064-5122,79 E DAILY DRIVE #180,CAMARILLO,93010-5807,448310,Jewelry stores,11,7/20/2016,,"(34.0328, -118.4399)",
0002862940-0001-2,LEROY ROBERT WELLINGTON JR,,752 S MAIN STREET   #414,LOS ANGELES,90014-2013,752 MAIN 90014-2013,POST OFFICE BOX #69211,WEST HOLLYWOOD,90069-0211,711510,"Independent artists, writers, & performers",14,1/1/2014,,"(34.0427, -118.2526)",
0002631158-0001-0,ANUNA'S INC,RICHARD L BURKE CONSTURCTION & DESIGN,18013 DEVONSHIRE STREET #140,NORTHRIDGE,91325-1259,18013 DEVONSHIRE 91325-1259,406   PIEDMONT AVENUE   APARTMENT #8,GLENDALE,91206-6100,711510,"Independent artists, writers, & performers",12,6/1/2011,,"(34.2572, -118.5258)",
0002305187-0008-7,COAST PARKING INC,STEP BY STEP CARPET CLEANING,1719 N CHEROKEE AVENUE,LOS ANGELES,90028-4806,1719 CHEROKEE 90028-4806,6362   HOLLYWOOD BLVD   SUITE #325,LOS ANGELES,90028-6367,812930,Parking lots & garages,13,5/1/2012,,"(34.1021, -118.3347)",
0002951528-0001-1,KELLI BRESLIN,SALAZAR GARDENING,4824   SATSUMA AVENUE   UNIT #2,NORTH HOLLYWOOD,91601-4660,4824 SATSUMA 91601-4660,553 S FAIRFAX AVENUE,LOS ANGELES,90036-3129,711510,"Independent artists, writers, & performers",2,1/24/2014,,"(34.1584, -118.3667)",
0002890088-0001-4,V/A TRANSPORT SERVICE CORP,V/A TRANSPORT,333   MAR VISTA AVENUE,WILMINGTON,90744-4925,333 MAR VISTA 90744-4925,333   MAR VISTA AVENUE,WILMINGTON,90744-4925,488000,Support activities for transportation (including motor vehicle towing),15,1/1/2015,,"(33.7728, -118.2779)",
0002995190-0001-1,ERIN TOYOSHIMA,GRACIELA & CRUZ VENTURES,5255   COLLEGE VIEW AVENUE,LOS ANGELES,90041-1102,5255 COLLEGE VIEW 90041,5255   COLLEGE VIEW AVENUE,LOS ANGELES,90041-1102,541990,"All other professional, scientific, & technical services",14,7/6/2017,,"(34.1429, -118.2204)",
0002933623-0001-8,ROBHANA ENTERTAINMENT LLC,HAN HOOK MORTUARY,606 S OLIVE STREET   SUITE #600,LOS ANGELES,90014-1669,606 OLIVE 90014-1669,3700 W OLYMPIC BLVD #202,LOS ANGELES,90019-2040,532400,Commercial & industrial machinery & equipment rental & leasing,14,10/5/2015,,"(34.0476, -118.2541)",
0000956307-0002-8,R R DONNELLEY & SONS CO /C,SUNTECH ENERGY,5334   STERLING CENTER DRIVE,WESTLAKE VILLAGE,91361-4612,5334 STERLING CENTER 91361-4612,300 LANG BLVD,GRAND ISLAND,14072-3122,424990,Other miscellaneous nondurable goods,0,2/1/1983,,"(34.1463, -118.8032)",
0000482517-0001-2,TATIANA TORRES-ARNOLD,LMELDO LOPEZ HERNANDEZ,13461   CUMPSTON STREET,SHERMAN OAKS,91401-5356,13461 CUMPSTON 91401-5356,13461   CUMPSTON STREET,SHERMAN OAKS,91401-5356,811490,Other personal &  household goods repair & maintenance,4,3/1/2002,,"(34.1697, -118.4266)",
0002924476-0001-4,THE ONES WHO LLC,MYGROOT,1102  3/4 S CLOVERDALE AVENUE,LOS ANGELES,90019-6737,1102 CLOVERDALE 90019-6737,10350 SANTA MONICA BLVD #190,LOS ANGELES,90025-5073,448120,Women's clothing stores,10,1/25/2016,,"(34.0547, -118.3488)",
0002958583-0001-1,SCALE MY BIZ INC,CANNA CONTINENTAL,147 S MARTEL AVENUE,LOS ANGELES,90036-2713,147 MARTEL 90036,147 S MARTEL AVENUE,LOS ANGELES,90036-2713,541600,"Management, scientific, & technical consulting services",5,1/5/2017,,"(34.0722, -118.3514)",
0002982994-0001-7,JORGE A CRUZ LEIVA,JLC GENERAL MAINTENANCE,4037 W 129TH STREET   #6,HAWTHORNE,90250-5252,4037 129TH 90250-5252,POST OFFICE BOX #2128,MONTCLAIR,91763-0628,561720,Janitorial services,0,4/25/2017,,"(33.9157, -118.345)",
0002664280-0001-3,CHRISTINA MITCHELL,BANGLUCK MARKET,718 N INGLEWOOD AVENUE   #25,INGLEWOOD,90302-2160,718 INGLEWOOD 90302-2160,718 N INGLEWOOD AVENUE   #25,INGLEWOOD,90302-2160,812990,All other personal services,0,1/1/2011,,"(33.9719, -118.3607)",
0002989553-0001-6,MARCELINO G CLAVEL ALVARENGA,CLAVEL HANDY MAN SERVICES,228 S MARIPOSA AVENUE   #5,LOS ANGELES,90004-5467,228 MARIPOSA 90004-5467,15960   VALLEY MEADOW PLACE,ENCINO,91436-3940,812990,All other personal services,13,1/1/2016,,"(34.0702, -118.2987)",
0002742427-0001-8,GENTEN ICHI LLC,GENTARO SOBA NOODLE,735 S FIGUEROA STREET SUITE #127,LOS ANGELES,90017-2561,735 FIGUEROA 90017-2561,735 S FIGUEROA STREET   #127,LOS ANGELES,90017-2561,722211,Limited-service eating places,14,3/27/2014,,"(34.0488, -118.2603)",
0002898686-0001-2,STEVEN SEINFELD,HAKO CARPET CLEANING,6928   OWENSMOUTH AVENUE,WOODLAND HILLS,91303-2095,6928 OWENSMOUTH 91303-2095,1670 PINE STREET,SAN FRANCISCO,94109-4525,541990,"All other professional, scientific, & technical services",3,5/1/2015,,"(34.1964, -118.6012)",
0002892584-0001-1,YELVA IRIS GARCIA,DIVINE HOUSE CLEANING,20326   SATICOY STREET   #5,WINNETKA,91306-2562,20326 SATICOY 91306-2562,20 COVERED WAGON LANE,ROLLING HILLS ESTATES,90274-4822,561720,Janitorial services,3,2/23/2016,,"(34.2077, -118.5763)",
0002967105-0001-7,JUSTIN ABARCA,HUMMINGBIRD PROMOTIONAL PRODUCTS,15010   VICTORY BLVD   #202,VAN NUYS,91411-1817,15010 VICTORY 91411-1817,8641 ALLENWOOD ROAD,LOS ANGELES,90046-1019,812990,All other personal services,6,2/22/2017,,"(34.1863, -118.4595)",
0002238463-0001-4,ROGELIO MIRELES,HOME INSPECTOR,3916   GIBRALTAR AVENUE   APARTMENT #9,LOS ANGELES,90008-1243,3916 GIBRALTAR 90008-1243,17626 DELANO STREET,ENCINO,91316-1218,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",10,4/6/2007,,"(34.0163, -118.3544)",
